id,name,locality,address,contact_number,rating,reviews_count,visit_type,grooming_tables,valet_parking,starting_price_inr,popular_package,specialty,verified
101,Paawsh Pet Salon & Spa,Memnagar,"Shop 4, Ground Floor, Sunrise Center, Near Drive In Cinema, Memnagar, Ahmedabad, Gujarat 380052",+91 98791 48438,4.9,77,At Salon & Doorstep Van,4,Available,1299,Premium Styling & Spa,"Breed-specific haircuts, medicated baths, organic hypoallergenic products",Yes
102,Heads Up For Tails Pet Store & Spa,Satellite Road,"Shop No 10, Shivalik Shilp II, Keshavbaug, Satellite Road, Ahmedabad, Gujarat 380015",+91 82910 30961,5.0,115,At Salon Session,5,Available,1499,HUFT Royal Spa Experience,"Stress-free aromatherapy baths, premium de-shedding, paw balming",Yes
103,Zigly For Happy Pets,Bodakdev,"Ground Floor, Shanti Sadan, Opposite Rajpath Club, SG Highway, Bodakdev, Ahmedabad, Gujarat 380054",+91 91524 35621,4.9,104,At Salon Session,6,Available,1199,Signature Grooming & Conditioning,"Ozone therapy, cat-safe styling, tick & flea preventative care",Yes
104,Sneh Pet Store & Grooming Station,Thaltej,"G-5, Trinity Complex, Opposite Signature Complex, Science City Road, Thaltej, Ahmedabad, Gujarat 380059",+91 98982 34110,5.0,468,At Salon Session,3,Not Available,899,Essential Bath & Trim,"Nail clipping, ear care, coat conditioning for double-coated breeds",Yes
105,Just Dogs Spa,Nehrunagar,"S R House, 1st Floor, Nehrunagar Circle, Opposite BRTS Bus Stop, Satellite Road, Ahmedabad, 380015",+91 99747 75111,4.7,720,At Salon Session,8,Available,1299,Show-Stopping Makeover,"Show-dog profiling, detangling treatments, dental spray hygiene",Yes
106,Pandya Pets & Grooming,Chandkheda,"Shop 12, Dev Premier, New C G Road, Chandkheda, Ahmedabad, Gujarat 382424",+91 79470 73210,4.4,1300,At Salon Session,4,Not Available,799,Hygienic Trim & Bath,"Affordable puppy packages, sanitary clips, expert deshedding",Yes
107,Bark Babies Boutique & Spa,South Bopal,"B-102, Orchid Centre, Near Sobo Center, South Bopal, Ahmedabad, Gujarat 380058",+91 95123 44090,4.9,204,At Salon & Home Service,3,Not Available,999,Fluffy Tail Premium Bath,"Teeth cleaning, anti-dandruff shampoo treatments, custom cuts",Yes
108,Doggy Do Parlour,Satellite,"Row House 4, Judges Bunglow Road, Near Mansi Circle, Satellite, Ahmedabad, Gujarat 380015",+91 98250 12345,4.4,71,At Salon Session,3,Not Available,850,Summer Cool Down Package,"Zero-cut shaves, skin diagnostics, behavioral handling for anxious dogs",Yes
109,Heads Up For Tails Spa,Rajpath Rangoli Road,"Shop No. 3, Shilp Epitome, Behind Infostretch Building, Bodakdev, Ahmedabad, Gujarat 380054",+91 96199 73927,4.9,92,At Salon Session,4,Available,1399,Heads Up Signature Bath,"Organic visual spa therapy, paw massage, skin hydration rubs",Yes
110,Tales Of Tails,Drive In Road,"3, Sun Square Complex, Near Drive In Cinema Road, Vastrapur, Ahmedabad, Gujarat 380015",+91 90990 88122,4.8,83,At Salon & Home Service,2,Not Available,950,De-matting & Herbal Bath,"Mat removal, deep skin conditioning, kitten hygiene sessions",No
111,Urban Pets Salon,Shivranjani,"Shop 6, Ratnadeep Complex, Near Shivranjani Cross Road, Satellite, Ahmedabad, Gujarat 380015",+91 79474 58212,4.5,72,At Salon Session,3,Not Available,800,Basic Neatness Routine,"Ear plucking, claw trimming, coat brightening baths",Yes
112,Scooby Pet World & Spa,Maninagar,"4, Jawahar Chowk Cross Road, Near Pushpkunj Circle, Maninagar, Ahmedabad, Gujarat 380008",+91 94260 55198,4.8,137,At Salon Session,4,Not Available,750,Monsoon Tick Free Package,"Anti-parasite treatments, skin whitening, blow-drying style",Yes
